Fighter,FirstYear,LastYear
Alex Chambers,2014,2018
Alex Torres,2015,2015
Alexander Volkanovski,2016,2025
Ange Loosa,2022,2024
Anthony Perosh,2011,2015
Ashkan Mokhtarian,2017,2017
Bassil Hafez,2023,2024
Bec Rawlings,2014,2018
Ben Nguyen,2015,2018
Ben Sosoli,2020,2020
Ben Wall,2013,2014
Benny Alloway,2012,2013
Brendan O'Reilly,2014,2016
Callan Potter,2019,2020
Chris Indich,2014,2014
Cody Haddon,2024,2025
Colby Thicknesse,2025,2025
Damien Brown,2016,2018
Daniel Kelly,2014,2018
Darrius Flowers,2023,2024
Dylan Andrews,2013,2015
George Sotiropoulos,2010,2013
Harry Hunsucker,2021,2022
Jack Della Maddalena,2022,2025
Jack Jenkins,2023,2025
Jacob Malkoun,2020,2025
Jake Matthews,2014,2025
James Te Huna,2011,2016
Jamie Mullarkey,2019,2025
Jessica-Rose Clark,2017,2023
Jim Crute,2020,2020
Jimmy Crute,2018,2023
Jonathan Micallef,2025,2025
Josh Culibao,2021,2024
Joshua Culibao,2020,2020
Junior Tafa,2023,2025
Justin Tafa,2019,2025
Kaan Ofli,2024,2025
Manuel Rodriguez,2012,2012
Mark Hunt,2010,2018
Nadia Kassem,2017,2019
Quillan Salkilld,2025,2025
Richard Walsh,2014,2016
Richie Vaculik,2013,2015
Rob Wilkinson,2017,2018
Robert Whittaker,2012,2025
Rostem Akman,2019,2019
Sean Sharaf,2024,2024
Shannon Ross,2023,2023
Soa Palelei,2013,2015
Steve Erceg,2023,2025
Steve Kennedy,2015,2015
Stewart Nicoll,2024,2024
Suman Mokhtarian,2018,2019
Tai Tuivasa,2017,2025
Tallison Teixeira,2025,2025
Tom Nolan,2024,2025
Tyson Pedro,2016,2024
Vik Grujic,2014,2015
Will Chope,2014,2014
