Country,Number of Fighters
United States of America,1096
Brazil,241
United Kingdom,107
Canada,87
Australia,59
Russia,55
Japan,40
Mexico,37
China,36
Poland,27
South Korea,24
France,19
Ireland,18
Germany,18
Sweden,16
Kazakhstan,13
New Zealand,12
Netherlands,11
Morocco,10
South Africa,10
Peru,8
Spain,8
Italy,7
Denmark,7
Argentina,6
Guam,5
Philippines,5
Norway,5
Czech Republic,5
Panama,5
Finland,5
Georgia,5
Thailand,5
Kyrgyzstan,4
Singapore,4
Tajikistan,4
Croatia,4
Uzbekistan,4
Serbia,4
Lithuania,3
Ecuador,3
Indonesia,3
United Arab Emirates,3
Switzerland,3
Slovakia,3
Belgium,3
Armenia,3
Turkey,3
Moldova,3
Cuba,2
Bulgaria,2
Ukraine,2
Jamaica,2
Bahrain,2
Greece,2
Bolivia,2
Phillipines,1
Hungary,1
Nigeria,1
Dominican Republic,1
Nicaragua,1
Portugual,1
Romania,1
 Japan,1
Tunisia,1
US,1
Singaporean,1
Venezuela,1
Austria,1
Taiwan,1
Mongolia,1
Jordan,1
Suriname,1
Portugal,1
Lebanon,1
Iceland,1
Iraq,1
Colombia ,1
Northern Mariana Islands,1
Cameroon,1
Costa Rica,1
India,1
Chile,1
Colombia,1
Albania,1
Paraguay,1
Zimbabwe,1
Israel,1
